UserId,GuideSession,GuideDownload,ConnectionRequested,PhotoUpload
961,24.0,1.0,2.0,7.0
174,23.0,1.0,2.0,13.0
866,25.0,1.0,2.0,7.0
1214,29.0,2.0,2.0,7.0
1860,10.0,1.0,2.0,7.0
2314,25.0,1.0,2.0,7.0
172,4.0,1.0,1.0,11.0
130,20.0,1.0,3.0,13.0
142,22.0,1.0,3.0,17.0
784,18.0,1.0,2.0,7.0
2021,18.0,2.0,2.0,7.0
163,16.0,1.0,6.0,13.0
1570,30.0,1.0,2.0,7.0
1779,25.0,1.0,2.0,7.0
544,37.0,1.0,2.0,1.0
2171,24.0,1.0,2.0,7.0
264,24.0,1.0,4.0,2.0
1144,22.0,1.0,2.0,7.0
749,26.0,2.0,2.0,7.0
763,17.0,3.0,2.0,7.0
1605,14.0,2.0,2.0,7.0
1607,39.0,1.0,2.0,7.0
1358,27.0,1.0,2.0,7.0
1946,17.0,2.0,2.0,7.0
1828,22.0,1.0,2.0,7.0
307,19.0,1.0,3.0,2.0
1879,22.0,2.0,2.0,7.0
434,14.0,4.0,3.0,8.0
797,26.0,1.0,2.0,7.0
1601,13.0,1.0,2.0,7.0
1674,28.0,1.0,2.0,7.0
2084,14.0,1.0,2.0,7.0
1491,30.0,2.0,2.0,7.0
65,7.0,1.0,1.0,18.0
828,16.0,2.0,2.0,7.0
435,21.0,2.0,1.0,2.0
1981,12.0,1.0,2.0,7.0
2296,16.0,2.0,2.0,7.0
2156,8.0,1.0,2.0,7.0
2461,44.0,1.0,2.0,7.0
1183,25.0,3.0,2.0,7.0
2420,18.0,2.0,2.0,7.0
1293,32.0,2.0,2.0,7.0
1087,14.0,2.0,2.0,7.0
932,17.0,3.0,2.0,7.0
815,22.0,2.0,2.0,7.0
780,35.0,4.0,2.0,7.0
2261,7.0,1.0,2.0,7.0
1133,24.0,1.0,2.0,7.0
2440,19.0,1.0,2.0,7.0
2206,14.0,1.0,2.0,7.0
428,17.0,1.0,2.0,8.0
849,16.0,3.0,2.0,7.0
1135,25.0,2.0,2.0,7.0
553,19.0,2.0,2.0,10.0
186,21.0,1.0,1.0,12.0
180,9.0,2.0,1.0,11.0
1956,17.0,1.0,2.0,7.0
451,28.0,2.0,1.0,7.0
468,12.0,1.0,2.0,8.0
262,20.0,2.0,1.0,5.0
1714,33.0,2.0,2.0,7.0
260,20.0,1.0,2.0,4.0
1963,13.0,1.0,2.0,7.0
1550,24.0,1.0,2.0,7.0
1951,24.0,1.0,2.0,7.0
2000,8.0,1.0,2.0,7.0
190,20.0,3.0,1.0,15.0
191,25.0,1.0,2.0,17.0
1739,18.0,1.0,2.0,7.0
735,11.0,1.0,2.0,7.0
1011,27.0,1.0,2.0,7.0
5,23.0,1.0,7.0,23.0
1324,15.0,1.0,2.0,7.0
1732,16.0,4.0,2.0,7.0
373,21.0,1.0,3.0,2.0
1621,27.0,1.0,2.0,7.0
83,17.0,2.0,1.0,21.0
832,24.0,3.0,2.0,7.0
1724,22.0,1.0,2.0,7.0
385,18.0,1.0,1.0,12.0
1047,23.0,1.0,2.0,7.0
162,19.0,1.0,3.0,17.0
2473,31.0,2.0,2.0,7.0
2085,71.0,2.0,2.0,7.0
1818,19.0,1.0,2.0,7.0
1636,23.0,3.0,2.0,7.0
472,8.0,1.0,1.0,6.0
1913,14.0,2.0,2.0,7.0
184,23.0,1.0,2.0,22.0
727,34.0,3.0,2.0,7.0
956,37.0,2.0,2.0,7.0
397,16.0,1.0,3.0,2.0
1241,19.0,3.0,2.0,7.0
1176,23.0,1.0,2.0,7.0
1092,18.0,1.0,2.0,7.0
2340,8.0,1.0,2.0,7.0
1539,19.0,4.0,2.0,7.0
177,26.0,1.0,3.0,16.0
1426,18.0,2.0,2.0,7.0
914,30.0,1.0,2.0,7.0
2095,28.0,1.0,2.0,7.0
1417,16.0,2.0,2.0,7.0
114,20.0,1.0,4.0,20.0
203,13.0,2.0,5.0,1.0
947,32.0,1.0,2.0,7.0
2091,57.0,1.0,2.0,7.0
476,12.0,1.0,1.0,1.0
643,26.0,1.0,2.0,4.0
1843,30.0,2.0,2.0,7.0
566,28.0,3.0,2.0,1.0
1030,8.0,1.0,2.0,7.0
347,29.0,1.0,1.0,3.0
267,11.0,2.0,1.0,4.0
982,26.0,1.0,2.0,7.0
579,25.0,1.0,2.0,8.0
651,17.0,1.0,2.0,3.0
1790,18.0,1.0,2.0,7.0
1026,10.0,3.0,2.0,7.0
972,14.0,3.0,2.0,7.0
23,17.0,1.0,1.0,18.0
235,13.0,2.0,2.0,4.0
1736,23.0,1.0,2.0,7.0
1693,10.0,1.0,2.0,7.0
147,14.0,1.0,3.0,21.0
484,25.0,1.0,3.0,2.0
1378,21.0,1.0,2.0,7.0
1336,27.0,1.0,2.0,7.0
877,33.0,1.0,2.0,7.0
1116,23.0,1.0,2.0,7.0
1713,18.0,1.0,2.0,7.0
442,39.0,3.0,2.0,1.0
81,24.0,2.0,1.0,14.0
1474,26.0,1.0,2.0,7.0
807,25.0,1.0,2.0,7.0
1089,20.0,1.0,2.0,7.0
650,15.0,2.0,2.0,1.0
105,20.0,1.0,1.0,24.0
2452,19.0,1.0,2.0,7.0
